index,zip_member,expected_external_audit,folder_path,top_family,audit_status,seconds,reason,error
1,Aaron_FX_random_sample_set_20260608_201853/Apollo Studios SFX Library/One_Shot/APLSFX_COMPLEX_Distorted Slasher_keyBbmin.wav,FX,_TO_REVIEW/Shape Conflict,_TO_REVIEW,FAIL_REVIEW,4.760,raw shared winner conflicted with measured temporal shape beat_loop=0.94 and no compatible shared candidate had enough raw support,
2,Aaron_FX_random_sample_set_20260608_201853/Apollo Studios SFX Library/One_Shot/APLSFX_COMPLEX_Reverse Heartbeat.wav,FX,Instruments/Bass/Bass Loops,Instruments,FAIL_INSTRUMENT,4.040,"raw consensus was incompatible with measured parent eligibility: role=bass_loop, confidence=0.89; raw=FX/Human and Voice FX/Breath/Long FX; fallback=Instruments/Bass/Bass Loops; measured bass loop; kick/drum/FX leaves are not eligible",
3,Aaron_FX_random_sample_set_20260608_201853/Apollo Studios SFX Library/One_Shot/APL_SFX_Whoosh_Roar_01.wav,FX,Instruments/Bass/Bass Loops,Instruments,FAIL_INSTRUMENT,1.749,final structure invariant used decisive PhysicsVoter Bass branch evidence instead of broad Instrument Loops,
4,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Bass Blips/tiny_low_click_blip.wav,FX,Drums/Kick Drums/Generic Kick/One Shots,Drums,QUESTIONABLE_DRUM,1.192,measured kick one-shot claim: sub/kick transient evidence and drum candidate support were established before final arbitration,
5,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Body Thumps/dry_low_body_hit.aif,FX,Drums/Kick Drums/Generic Kick/One Shots,Drums,PASS_DRUM_ALLOWED,1.319,measured kick one-shot claim: sub/kick transient evidence and drum candidate support were established before final arbitration,
6,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Downward Stutters/falling_chopped_stutter.wav,FX,Drums/Snares/Acoustic Snare/One Shots,Drums,QUESTIONABLE_DRUM,0.618,brain and physics shared the winning category,
7,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Heavy Impact Hits/processed_body_punch.wav,FX,Drums/Percussion/Bells and Metallic Percussion/One Shots,Drums,PASS_DRUM_ALLOWED,1.171,measured struck-percussion parent claim: compact membrane/wood/metal/scrape evidence kept the sound under Drums before final arbitration,
8,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/High Screech Drops/high_screeching_string_drop.wav,FX,Instruments/Synths/Synth Loops,Instruments,FAIL_INSTRUMENT,4.521,measured instrument-branch loop claim: long/repeated pitched body and branch-layer evidence contradicted a one-shot leaf before final arbitration,
9,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Junk Rattles/loose_junk_rattle_hit.aif,FX,Drums/Percussion/Bells and Metallic Percussion/One Shots,Drums,PASS_DRUM_ALLOWED,1.319,measured drum one-shot claim: strong drum-anchor evidence was emitted before older voice/bass/pitched-hit fallbacks could win,
10,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Lasers/MajorLaser.wav,FX,Drums/Drum Loops/Loops,Drums,QUESTIONABLE_DRUM,4.433,measured drum-loop claim: shape/role evidence and voter candidate support identified a broad drum loop before final arbitration,
11,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Long Crazy String Drops/scraping_string_drop_long.aif,FX,Drums/Cymbals/Crash Cymbal/One Shots,Drums,QUESTIONABLE_DRUM,4.186,brain and physics shared the winning category,
12,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Long Robotic Bell Collages/long_robot_bell_glitch_collage.wav,FX,FX/Digital Mechanical Industrial Transport/Glitches and Stutters/Generic Glitch/Long FX,FX,PASS_FX,2.802,brain and physics shared the winning category,
13,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/LongFX/SpaceShipSlowingDOwn.wav,FX,Instruments/Instrument Loops/Loops,Instruments,FAIL_INSTRUMENT,3.824,final structure invariant sent clean non-percussive pitched loop evidence to broad Instruments instead of a contradicted FX leaf,
14,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Low Monster Drops/low_grinding_monster_drop.wav,FX,Instruments/Instrument Loops/Loops,Instruments,FAIL_INSTRUMENT,4.795,final structure invariant broadened a contradicted FX leaf to Instrument Loops because measured body is a non-transition pitched music loop,
15,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/MediamFX/darkEnergy.wav,FX,_TO_REVIEW/Measured Role Conflict,_TO_REVIEW,FAIL_REVIEW,2.844,blocked old-style role/shape routing claim instead of forcing a folder: raw=FX/Impacts and Hits/Short Impact/Long FX; blocked=Instruments/Keys/Rhodes/One Shots; source=shape_sanity_consensus; strength=0.91,
