index,zip_member,expected_external_audit,source_group,folder_path,top_family,audit_status,seconds,reason,error
1,Aaron_FX_random_sample_set_20260608_201853/Apollo Studios SFX Library/One_Shot/APLSFX_COMPLEX_Distorted Slasher_keyBbmin.wav,FX,source_fx,FX/Impacts and Hits/Short Impact/Long FX,FX,PASS_FX,3.003,brain and physics shared the winning category,
2,Aaron_FX_random_sample_set_20260608_201853/Apollo Studios SFX Library/One_Shot/APLSFX_COMPLEX_Reverse Heartbeat.wav,FX,source_fx,Instruments/Bass/Bass Loops,Instruments,FAIL_INSTRUMENT,2.809,"raw consensus was incompatible with measured parent eligibility: role=bass_loop, confidence=0.89; raw=FX/Human and Voice FX/Breath/Long FX; fallback=Instruments/Bass/Bass Loops; measured bass loop; kick/drum/FX leaves are not eligible",
3,Aaron_FX_random_sample_set_20260608_201853/Apollo Studios SFX Library/One_Shot/APL_SFX_Whoosh_Roar_01.wav,FX,source_fx,Instruments/Bass/Bass Loops,Instruments,FAIL_INSTRUMENT,1.141,final structure invariant used decisive PhysicsVoter Bass branch evidence instead of broad Instrument Loops,
4,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Bass Blips/tiny_low_click_blip.wav,FX,source_fx,Drums/Kick Drums/Generic Kick/One Shots,Drums,QUESTIONABLE_DRUM,0.547,measured kick one-shot claim: sub/kick transient evidence and drum candidate support were established before final arbitration,
5,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Body Thumps/dry_low_body_hit.aif,FX,source_fx,Drums/Kick Drums/Generic Kick/One Shots,Drums,PASS_DRUM_ALLOWED,0.555,measured kick one-shot claim: sub/kick transient evidence and drum candidate support were established before final arbitration,
6,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Downward Stutters/falling_chopped_stutter.wav,FX,source_fx,Drums/Snares/Acoustic Snare/One Shots,Drums,QUESTIONABLE_DRUM,0.429,brain and physics shared the winning category,
7,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Heavy Impact Hits/processed_body_punch.wav,FX,source_fx,Drums/Percussion/Bells and Metallic Percussion/One Shots,Drums,PASS_DRUM_ALLOWED,0.512,measured struck-percussion parent claim: compact membrane/wood/metal/scrape evidence kept the sound under Drums before final arbitration,
8,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/High Screech Drops/high_screeching_string_drop.wav,FX,source_fx,Instruments/Synths/Synth Pad/One Shots,Instruments,FAIL_INSTRUMENT,3.099,"Synth sibling candidate had direct voter support and measured audio supported stable pitched instrument structure: role=pitched_music_loop, shape=bass_phrase:0.89; raw=FX/Digital Mechanical Industrial Transport/Glitches and Stutters/Generic Glitch/Long FX",
9,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Junk Rattles/loose_junk_rattle_hit.aif,FX,source_fx,Drums/Percussion/Bells and Metallic Percussion/One Shots,Drums,PASS_DRUM_ALLOWED,0.554,measured drum one-shot claim: strong drum-anchor evidence was emitted before older voice/bass/pitched-hit fallbacks could win,
10,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Lasers/MajorLaser.wav,FX,source_fx,Drums/Drum Loops/Loops,Drums,QUESTIONABLE_DRUM,3.188,measured drum-loop claim: shape/role evidence and voter candidate support identified a broad drum loop before final arbitration,
